搬送開始時刻,搬送完了時刻,要支援者ID,避難所ID,車両ID,搬送回数
160.44,178.4,42,1,9,1
177.8,227.95,40,1,8,1
215.14,302.63,58,1,3,1
172.08,304.49,23,1,0,1
202.4,304.49,30,1,0,1
262.48,304.49,47,1,0,1
292.75,304.49,64,1,0,1
304.49,304.49,71,1,0,1
178.92,375.41,27,1,5,1
253.01,375.41,33,1,5,1
161.91,483.89,34,1,4,1
304.24,483.89,174,1,4,1
226.78,501.29,55,1,1,1
349.69,501.29,181,1,1,1
393.92,674.47,56,1,7,1
191.25,754.81,31,1,6,1
229.27,754.81,45,1,6,1
257.42,754.81,46,1,6,1
493.12,754.81,176,1,6,1
759.24,782.7,127,2,9,2
774.07,782.7,128,2,9,2
220.89,822.03,26,1,2,1
273.28,822.03,28,1,2,1
314.2,822.03,32,1,2,1
314.2,822.03,36,1,2,1
428.3,822.03,66,1,2,1
642.38,822.03,177,1,2,1
921.98,962.58,129,2,5,2
871.04,1218.95,130,2,3,2
1053.52,1218.95,134,2,3,2
1069.12,1242.63,198,4,4,2
764.07,1329.67,133,2,0,2
1056.76,1329.67,136,2,0,2
1122.75,1329.67,137,2,0,2
792.12,1400.49,122,2,8,2
892.7,1400.49,123,2,8,2
1039.46,1400.49,131,2,8,2
1176.12,1400.49,139,2,8,2
1394.16,1509.21,112,2,6,2
1469.21,1509.21,116,2,6,2
1569.22,1586.58,163,3,9,3
1398.73,1607.4,126,2,2,2
1511.71,1607.4,132,2,2,2
1193.05,1819.4,124,2,7,2
1518.86,1819.4,138,2,7,2
1568.91,1819.4,140,2,7,2
1170.81,2037.8,118,2,1,2
1398.34,2037.8,125,2,1,2
1759.81,2037.8,135,2,1,2
2052.44,2305.39,157,3,0,3
2187.46,2305.39,168,3,0,3
1766.45,2398.93,147,3,5,3
1887.85,2398.93,149,3,5,3
2068.12,2398.93,162,3,5,3
2271.85,2398.93,182,3,5,3
2360.78,2404.7,218,6,4,3
2428.32,2593.22,150,3,6,3
2500.18,2593.22,159,3,6,3
2038.44,2622.62,143,3,3,3
2107.97,2622.62,146,3,3,3
2380.86,2622.62,160,3,3,3
2539.32,2622.62,167,3,3,3
2256.66,2624.66,144,3,8,3
2423.34,2624.66,178,3,8,3
2489.93,2854.56,148,3,2,3
2534.45,2854.56,151,3,2,3
2600.82,2854.56,156,3,2,3
2800.95,2854.56,165,3,2,3
2725.42,2971.64,187,4,9,4
3137.72,3137.72,201,5,0,4
2815.01,3160.97,191,4,7,3
2999.96,3160.97,195,4,7,3
