Vehicle,Total Distance,Total Clients,Shelter Visits
0,15046.78,25,14
1,18397.25,30,18
2,12249.89,25,11
3,16702.17,31,18
4,14451.08,31,15
5,14973.63,29,15
6,15272.5,29,14
7,17706.45,29,17
8,14652.75,25,14
9,16740.76,41,18
