搬送開始時刻,搬送完了時刻,要支援者ID,避難所ID,車両ID,搬送回数
139.37,178.4,46,1,5,1
161.91,236.97,34,1,0,1
236.97,236.97,71,1,0,1
172.08,309.06,28,1,7,1
213.01,309.06,32,1,7,1
178.92,396.8,27,1,4,1
216.07,396.8,30,1,4,1
309.31,396.8,58,1,4,1
220.89,416.57,26,1,8,1
264.97,416.57,181,1,8,1
209.43,515.85,36,1,9,1
260.29,515.85,40,1,9,1
314.02,515.85,47,1,9,1
416.73,515.85,55,1,9,1
217.79,649.32,33,1,3,1
387.62,649.32,176,1,3,1
172.08,699.19,23,1,1,1
209.26,699.19,42,1,1,1
231.17,699.19,45,1,1,1
305.46,699.19,66,1,1,1
519.54,699.19,174,1,1,1
361.49,819.31,124,2,2,1
605.29,819.31,136,2,2,1
746.81,896.78,130,2,5,2
788.59,896.78,131,2,5,2
873.24,1011.91,122,2,7,2
916.22,1011.91,132,2,7,2
191.25,1057.26,31,1,6,1
393.92,1057.26,56,1,6,1
686.21,1057.26,64,1,6,1
877.61,1057.26,177,1,6,1
1036.15,1118.12,112,2,4,2
783.54,1390.76,129,2,0,2
1090.22,1390.76,138,2,0,2
1086.09,1533.5,118,2,8,2
1295.35,1533.5,123,2,8,2
1368.07,1533.5,134,2,8,2
1113.24,1555.06,116,2,9,2
1129.78,1555.06,127,2,9,2
1330.69,1555.06,139,2,9,2
1109.91,1708.89,125,2,3,2
1133.75,1708.89,133,2,3,2
1458.39,1708.89,140,2,3,2
1275.9,1805.79,126,2,1,2
1527.8,1805.79,135,2,1,2
1711.71,1938.85,142,3,2,2
1816.58,1938.85,150,3,2,2
1885.24,1938.85,165,3,2,2
1628.89,2034.08,128,2,6,2
1827.17,2034.08,137,2,6,2
1974.29,2437.03,144,3,4,3
2080.5,2437.03,146,3,4,3
2146.3,2437.03,151,3,4,3
2353.73,2437.03,167,3,4,3
1877.43,2515.73,153,3,7,3
2053.15,2515.73,156,3,7,3
2316.92,2515.73,159,3,7,3
2412.59,2515.73,166,3,7,3
2141.9,2581.89,158,3,0,3
2380.58,2581.89,160,3,0,3
2564.54,2581.89,163,3,0,3
2447.89,2582.1,149,3,9,3
2512.76,2673.22,147,3,3,3
2612.89,2673.22,157,3,3,3
1779.31,2690.08,148,3,5,3
1818.58,2690.08,155,3,5,3
1943.04,2690.08,161,3,5,3
2104.15,2690.08,182,3,5,3
2408.88,2690.08,323,3,5,3
2419.77,2739.55,162,3,8,3
2538.23,2739.55,178,3,8,3
2657.1,2830.62,198,4,1,3
2853.58,3097.53,143,3,6,3
2979.6,3097.53,168,3,6,3
3414.23,3414.23,201,5,0,4
3355.29,3424.6,215,5,9,4
2670.73,3528.8,183,4,2,3
3050.73,3528.8,186,4,2,3
3367.79,3528.8,195,4,2,3
3247.62,3576.36,184,4,7,4
3350.53,3576.36,193,4,7,4
3589.9,3815.39,190,4,4,4
3657.96,3831.92,191,4,8,4
3696.41,3874.81,188,4,5,4
3736.93,3874.81,192,4,5,4
3851.92,4103.25,189,4,3,4
4450.88,4480.74,221,6,0,5
4236.38,4482.59,187,4,6,4
4465.99,4514.16,266,7,1,4
4804.16,4914.99,217,5,8,5
4805.96,4927.33,209,5,4,5
4843.12,4927.33,214,5,4,5
4843.56,4976.64,102,6,5,5
4924.71,5042.09,277,7,9,5
4963.93,5042.09,283,7,9,5
5015.14,5042.09,288,7,9,5
5221.4,5265.32,218,6,3,5
4589.56,5436.97,222,6,2,4
4960.5,5436.97,224,6,2,4
5093.53,5436.97,226,6,2,4
4626.41,5534.56,117,6,7,5
5132.46,5534.56,223,6,7,5
5363.31,5534.56,228,6,7,5
5503.84,5649.6,219,6,6,5
5764.01,5857.08,84,8,1,5
5757.56,5921.79,99,6,8,6
5912.35,5996.59,220,6,4,6
6069.71,6104.96,267,7,0,6
6159.53,6342.9,85,8,2,5
6223.65,6342.9,91,8,2,5
6223.65,6342.9,98,8,2,5
6304.61,6342.9,104,8,2,5
6304.66,6482.71,89,8,9,6
6389.65,6482.71,95,8,9,6
6557.07,6653.53,263,7,5,6
6590.86,6653.53,265,7,5,6
6447.86,6670.22,96,8,6,6
6557.52,6670.22,101,8,6,6
6533.37,6912.62,152,9,1,6
6640.14,6912.62,185,9,1,6
6763.28,6912.62,194,9,1,6
6722.21,6950.9,100,8,4,7
6798.09,6950.9,120,8,4,7
6859.57,7004.22,269,7,3,6
6941.05,7004.22,285,7,3,6
7120.3,7139.45,154,9,9,7
7128.81,7175.73,271,7,7,6
7319.27,7630.69,88,8,0,7
7438.1,7630.69,93,8,0,7
7556.94,7630.69,105,8,0,7
7321.22,7660.4,314,12,2,6
7416.63,7660.4,322,12,2,6
7683.09,7743.88,254,11,8,7
7519.57,7869.35,216,10,6,7
7750.54,7869.35,227,10,6,7
7809.05,7869.35,229,10,6,7
8024.61,8033.37,231,10,9,8
7809.58,8050.75,213,10,1,7
7974.1,8050.75,230,10,1,7
7973.12,8189.93,110,8,5,7
8031.71,8189.93,113,8,5,7
8087.19,8189.93,114,8,5,7
8270.5,8270.5,145,9,0,8
7971.73,8483.33,309,12,4,8
8083.99,8483.33,315,12,4,8
8199.68,8483.33,321,12,4,8
8385.02,8615.74,107,8,3,7
8475.43,8615.74,111,8,3,7
8528.85,8627.49,115,8,7,7
8606.81,8709.98,68,13,2,7
8674.06,8709.98,70,13,2,7
8952.22,9118.92,196,9,5,8
9043.67,9201.55,179,16,2,8
9296.14,9389.0,212,10,7,8
9292.31,9405.3,197,9,3,8
9705.84,9741.92,172,16,4,9
9756.05,9794.41,249,11,1,8
9708.75,9909.45,247,11,9,9
9750.72,9909.45,252,11,9,9
9841.32,9909.45,256,11,9,9
9921.27,10002.47,244,11,0,9
9921.27,10002.47,246,11,0,9
9729.37,10027.25,307,12,8,8
9826.54,10027.25,312,12,8,8
9172.22,10065.09,303,12,6,8
9230.54,10065.09,308,12,6,8
9480.81,10065.09,310,12,6,8
9682.77,10065.09,313,12,6,8
9796.45,10065.09,318,12,6,8
10302.75,10598.32,206,17,2,9
10783.52,10886.65,248,11,5,9
10783.52,10886.65,253,11,5,9
11037.28,11099.69,250,11,3,9
11095.11,11134.28,245,11,7,9
10758.49,11328.52,200,17,4,10
11142.26,11328.52,210,17,4,10
11178.07,11345.32,82,14,6,9
11248.1,11345.32,92,14,6,9
11202.19,11372.23,60,13,9,10
11222.36,11372.23,73,13,9,10
11305.69,11372.23,78,13,9,10
11307.66,11372.23,81,13,9,10
11126.89,11402.97,170,16,8,9
11242.62,11402.97,180,16,8,9
11680.41,11848.88,59,14,9,11
11784.23,11848.88,83,14,9,11
11780.08,11924.74,169,16,6,10
12124.16,12188.3,38,15,9,12
12508.54,12530.24,164,16,9,13
12476.88,12555.61,239,19,2,10
12512.58,12555.61,240,19,2,10
12519.83,12555.61,243,19,2,10
12043.6,12618.25,297,12,1,9
12424.3,12618.25,304,12,1,9
12225.03,12732.51,300,12,0,10
12556.72,12732.51,316,12,0,10
12980.1,13216.96,264,18,4,11
13061.92,13216.96,273,18,4,11
13133.78,13216.96,274,18,4,11
12374.85,13319.5,199,17,8,10
12724.79,13319.5,202,17,8,10
12943.97,13319.5,205,17,8,10
13132.46,13575.85,311,12,7,10
13332.08,13575.85,319,12,7,10
13537.02,13594.94,233,19,6,11
13610.3,13648.3,63,13,1,10
13293.99,13698.65,298,12,3,10
13469.43,13698.65,306,12,3,10
13577.1,13698.65,317,12,3,10
13667.65,13707.67,69,13,0,11
13080.95,13816.3,299,12,5,10
13329.71,13816.3,302,12,5,10
13557.76,13816.3,320,12,5,10
13891.63,13969.14,86,14,1,11
14043.98,14068.71,261,18,9,14
14190.72,14228.6,48,15,1,12
14683.65,14730.7,57,14,7,11
14683.65,14730.7,61,14,7,11
14659.33,14811.74,65,13,3,11
14695.19,14811.74,77,13,3,11
14749.34,14811.74,108,13,3,11
14812.49,14868.57,79,13,5,11
14876.17,14948.66,280,21,2,11
14961.93,15009.46,67,15,7,12
15026.09,15061.55,260,18,8,11
15099.09,15161.18,54,14,3,12
15112.61,15175.45,74,14,5,12
15147.66,15175.45,76,14,5,12
15066.35,15186.36,25,20,6,12
14799.55,15688.9,203,17,0,12
15092.9,15688.9,204,17,0,12
15306.65,15688.9,208,17,0,12
15500.05,15698.25,39,15,3,13
15662.8,15698.25,41,15,3,13
15750.68,15818.32,232,19,4,12
15336.54,15933.83,225,17,1,13
16047.28,16130.94,171,16,3,14
16094.86,16130.94,173,16,3,14
16208.23,16303.28,259,18,7,13
16260.03,16303.28,272,18,7,13
16539.68,16638.16,237,19,9,15
16329.39,16715.01,292,21,6,13
16569.77,16715.01,305,21,6,13
16266.83,16788.38,207,17,5,13
16657.42,16788.38,211,17,5,13
17293.5,17374.81,24,20,4,13
17410.32,17425.22,51,20,5,14
17414.3,17611.19,258,18,0,13
