Vehicle,Cost (Distance),Load (People),Shelter Visits
Vehicle 1,10445.638587275673,42,11
Vehicle 2,8164.926894202532,43,11
Vehicle 3,10048.408748826187,44,12
Vehicle 4,7866.618212877649,46,12
Vehicle 5,9398.443451812314,45,12
Vehicle 6,9214.117334703113,44,12
Vehicle 7,8615.285788464867,45,12
Vehicle 8,8321.423856537076,50,14
Vehicle 9,8013.355665001008,45,12
Vehicle 10,9259.546127387017,52,14
