Vehicle,Total Distance,Total Clients,Shelter Visits
0,19088.6,34,18
1,17699.43,37,19
2,12266.16,25,11
3,15175.07,32,15
4,14152.98,25,13
5,16132.87,27,18
6,14535.09,29,15
7,13250.43,21,13
8,19368.4,30,17
9,15455.25,40,18
