Vehicle,Total Distance,Total Clients,Shelter Visits
0,13590.7,31,14
1,15373.08,32,16
2,14532.43,28,13
3,14125.32,28,15
4,15917.29,26,15
5,16427.79,30,14
6,13741.1,30,13
7,18959.39,30,18
8,13504.45,26,17
9,14949.33,40,17
