Vehicle,Route
0,Depot(0) -> Client(30) -> Client(56) -> Client(71) -> Shelter(1) -> Client(123) -> Shelter(2) -> Client(143) -> Client(157) -> Client(168) -> Shelter(3) -> Client(189) -> Client(193) -> Shelter(4) -> Client(201) -> Shelter(5) -> Client(84) -> Client(96) -> Client(100) -> Client(101) -> Shelter(8) -> Client(145) -> Client(154) -> Client(197) -> Shelter(9) -> Client(227) -> Client(229) -> Shelter(10) -> Client(254) -> Shelter(11) -> Client(300) -> Client(302) -> Client(310) -> Client(320) -> Client(323) -> Shelter(12) -> Client(274) -> Shelter(18) -> Client(233) -> Client(234) -> Shelter(19) -> Client(25) -> Client(175) -> Shelter(20) -> Client(286) -> Shelter(21) -> Depot(0)
1,Depot(0) -> Client(31) -> Client(66) -> Client(174) -> Client(181) -> Shelter(1) -> Client(116) -> Client(130) -> Client(135) -> Shelter(2) -> Client(146) -> Client(150) -> Client(151) -> Shelter(3) -> Client(266) -> Shelter(7) -> Client(91) -> Client(93) -> Client(98) -> Client(105) -> Client(120) -> Shelter(8) -> Client(152) -> Shelter(9) -> Client(230) -> Shelter(10) -> Client(252) -> Shelter(11) -> Client(308) -> Client(315) -> Shelter(12) -> Client(69) -> Shelter(13) -> Client(86) -> Shelter(14) -> Client(48) -> Shelter(15) -> Client(206) -> Shelter(17) -> Client(257) -> Shelter(18) -> Client(241) -> Client(251) -> Shelter(19) -> Client(287) -> Client(295) -> Client(296) -> Client(305) -> Shelter(21) -> Depot(0)
2,Depot(0) -> Client(23) -> Client(26) -> Client(28) -> Client(34) -> Shelter(1) -> Client(118) -> Client(131) -> Client(136) -> Shelter(2) -> Client(160) -> Client(162) -> Client(165) -> Client(178) -> Shelter(3) -> Client(183) -> Shelter(4) -> Client(217) -> Shelter(5) -> Client(102) -> Client(221) -> Client(222) -> Client(223) -> Shelter(6) -> Client(216) -> Shelter(10) -> Client(299) -> Client(321) -> Client(322) -> Shelter(12) -> Client(79) -> Shelter(13) -> Client(199) -> Shelter(17) -> Client(261) -> Client(272) -> Shelter(18) -> Client(35) -> Client(50) -> Shelter(20) -> Client(292) -> Shelter(21) -> Depot(0)
3,Depot(0) -> Client(33) -> Client(176) -> Client(177) -> Shelter(1) -> Client(147) -> Client(148) -> Client(182) -> Shelter(3) -> Client(265) -> Shelter(7) -> Client(95) -> Client(107) -> Client(111) -> Client(115) -> Shelter(8) -> Client(245) -> Shelter(11) -> Client(309) -> Client(314) -> Shelter(12) -> Client(65) -> Client(108) -> Shelter(13) -> Client(54) -> Shelter(14) -> Client(39) -> Shelter(15) -> Client(171) -> Shelter(16) -> Client(211) -> Client(225) -> Shelter(17) -> Client(262) -> Shelter(18) -> Client(242) -> Shelter(19) -> Client(275) -> Client(276) -> Client(289) -> Shelter(21) -> Client(119) -> Client(121) -> Shelter(22) -> Depot(0)
4,Depot(0) -> Client(129) -> Client(134) -> Client(139) -> Shelter(2) -> Client(184) -> Client(187) -> Client(195) -> Shelter(4) -> Client(117) -> Client(228) -> Shelter(6) -> Client(196) -> Shelter(9) -> Client(256) -> Shelter(11) -> Client(297) -> Shelter(12) -> Client(60) -> Shelter(13) -> Client(59) -> Shelter(14) -> Client(38) -> Shelter(15) -> Client(164) -> Client(179) -> Shelter(16) -> Client(202) -> Client(205) -> Client(210) -> Shelter(17) -> Client(258) -> Shelter(18) -> Client(235) -> Shelter(19) -> Client(24) -> Client(44) -> Shelter(20) -> Client(282) -> Client(291) -> Client(301) -> Shelter(21) -> Depot(0)
5,Depot(0) -> Client(125) -> Client(141) -> Shelter(2) -> Client(153) -> Client(158) -> Client(159) -> Client(167) -> Shelter(3) -> Client(209) -> Client(214) -> Shelter(5) -> Client(218) -> Client(220) -> Shelter(6) -> Client(271) -> Shelter(7) -> Client(85) -> Shelter(8) -> Client(194) -> Shelter(9) -> Client(212) -> Shelter(10) -> Client(298) -> Client(304) -> Client(316) -> Shelter(12) -> Client(169) -> Client(172) -> Client(180) -> Shelter(16) -> Client(203) -> Client(204) -> Shelter(17) -> Client(259) -> Client(260) -> Client(264) -> Client(270) -> Shelter(18) -> Client(279) -> Client(293) -> Client(294) -> Shelter(21) -> Client(94) -> Shelter(22) -> Depot(0)
6,Depot(0) -> Client(27) -> Client(40) -> Client(55) -> Shelter(1) -> Client(112) -> Client(122) -> Client(132) -> Client(133) -> Client(137) -> Shelter(2) -> Client(144) -> Client(149) -> Client(155) -> Shelter(3) -> Client(186) -> Client(190) -> Client(191) -> Client(192) -> Shelter(4) -> Client(263) -> Client(269) -> Shelter(7) -> Client(113) -> Shelter(8) -> Client(244) -> Client(249) -> Shelter(11) -> Client(311) -> Client(317) -> Shelter(12) -> Client(29) -> Client(53) -> Client(72) -> Shelter(15) -> Client(273) -> Shelter(18) -> Client(237) -> Client(238) -> Shelter(19) -> Client(281) -> Shelter(21) -> Client(106) -> Shelter(22) -> Depot(0)
7,Depot(0) -> Client(32) -> Client(45) -> Client(47) -> Shelter(1) -> Client(138) -> Shelter(2) -> Client(142) -> Client(161) -> Shelter(3) -> Client(188) -> Shelter(4) -> Client(99) -> Client(219) -> Client(224) -> Shelter(6) -> Client(283) -> Client(285) -> Shelter(7) -> Client(114) -> Shelter(8) -> Client(231) -> Shelter(10) -> Client(248) -> Client(253) -> Client(268) -> Shelter(11) -> Client(307) -> Client(313) -> Client(319) -> Shelter(12) -> Client(73) -> Shelter(13) -> Client(57) -> Client(82) -> Client(92) -> Shelter(14) -> Client(170) -> Shelter(16) -> Client(207) -> Shelter(17) -> Client(236) -> Shelter(19) -> Client(49) -> Shelter(20) -> Client(284) -> Shelter(21) -> Client(75) -> Shelter(22) -> Depot(0)
8,Depot(0) -> Client(64) -> Shelter(1) -> Client(124) -> Client(126) -> Client(128) -> Client(140) -> Shelter(2) -> Client(156) -> Shelter(3) -> Client(198) -> Shelter(4) -> Client(215) -> Shelter(5) -> Client(226) -> Shelter(6) -> Client(88) -> Client(104) -> Shelter(8) -> Client(246) -> Shelter(11) -> Client(303) -> Client(312) -> Shelter(12) -> Client(63) -> Client(70) -> Client(77) -> Shelter(13) -> Client(61) -> Shelter(14) -> Client(67) -> Shelter(15) -> Client(173) -> Shelter(16) -> Client(200) -> Client(208) -> Shelter(17) -> Client(51) -> Shelter(20) -> Client(280) -> Shelter(21) -> Client(90) -> Client(109) -> Shelter(22) -> Depot(0)
9,Depot(0) -> Client(36) -> Client(42) -> Client(46) -> Client(58) -> Shelter(1) -> Client(127) -> Shelter(2) -> Client(163) -> Client(166) -> Shelter(3) -> Client(267) -> Client(277) -> Client(288) -> Shelter(7) -> Client(89) -> Client(110) -> Shelter(8) -> Client(185) -> Shelter(9) -> Client(213) -> Shelter(10) -> Client(247) -> Client(250) -> Shelter(11) -> Client(306) -> Client(318) -> Shelter(12) -> Client(68) -> Client(78) -> Client(81) -> Shelter(13) -> Client(74) -> Client(76) -> Client(83) -> Shelter(14) -> Client(41) -> Shelter(15) -> Client(255) -> Shelter(18) -> Client(232) -> Client(239) -> Client(240) -> Client(243) -> Shelter(19) -> Client(37) -> Client(43) -> Client(52) -> Shelter(20) -> Client(278) -> Client(290) -> Shelter(21) -> Client(62) -> Client(80) -> Client(87) -> Client(97) -> Client(103) -> Shelter(22) -> Depot(0)
