搬送開始時刻,搬送完了時刻,要支援者ID,避難所ID,車両ID,搬送回数
172.08,227.22,23,1,1,1
172.08,227.22,28,1,9,1
209.26,227.22,42,1,9,1
167.52,234.69,45,1,0,1
195.66,234.69,46,1,0,1
234.69,234.69,71,1,0,1
161.91,236.97,34,1,6,1
191.25,288.45,31,1,5,1
238.3,288.45,40,1,5,1
226.78,325.9,55,1,7,1
180.16,573.89,66,1,8,1
394.24,573.89,174,1,8,1
394.24,573.89,177,1,8,1
220.89,685.63,26,1,3,1
236.55,685.63,33,1,3,1
370.69,685.63,64,1,3,1
534.03,685.63,181,1,3,1
178.92,772.68,27,1,2,1
245.62,772.68,58,1,2,1
510.98,772.68,176,1,2,1
142.52,874.51,30,1,4,1
210.19,874.51,32,1,4,1
210.19,874.51,36,1,4,1
309.83,874.51,47,1,4,1
593.96,874.51,56,1,4,1
791.39,1056.11,122,2,9,2
917.84,1056.11,125,2,9,2
733.89,1102.03,123,2,6,2
854.46,1102.03,127,2,6,2
869.28,1102.03,128,2,6,2
981.34,1102.03,133,2,6,2
957.97,1180.57,118,2,5,2
1072.39,1180.57,131,2,5,2
952.11,1277.65,139,2,0,2
1027.15,1277.65,140,2,0,2
925.33,1291.09,153,3,7,2
1101.05,1291.09,156,3,7,2
1442.92,1581.01,130,2,4,2
1283.02,1779.43,116,2,3,2
1340.74,1779.43,129,2,3,2
1565.41,1779.43,136,2,3,2
866.57,1794.11,112,2,1,2
998.76,1794.11,132,2,1,2
1137.41,1794.11,134,2,1,2
1516.12,1794.11,135,2,1,2
1092.48,1862.08,124,2,8,2
1272.45,1862.08,126,2,8,2
1432.66,1862.08,137,2,8,2
1561.54,1862.08,138,2,8,2
1984.56,2116.61,148,3,6,3
1398.98,2123.78,142,3,2,2
1647.57,2123.78,160,3,2,2
1766.04,2123.78,162,3,2,2
1861.45,2123.78,165,3,2,2
1996.7,2123.78,182,3,2,2
2079.08,2167.96,159,3,0,3
2084.65,2167.96,167,3,0,3
1881.44,2169.7,146,3,9,3
2066.56,2169.7,166,3,9,3
2022.97,2246.92,183,4,7,3
1984.44,2572.17,147,3,5,3
2105.84,2572.17,149,3,5,3
2144.84,2572.17,155,3,5,3
2328.1,2572.17,158,3,5,3
2468.99,2572.17,161,3,5,3
2635.61,2843.29,144,3,3,3
2782.95,2843.29,157,3,3,3
2500.12,2843.7,150,3,4,3
2669.29,2843.7,151,3,4,3
2826.34,2843.7,163,3,4,3
2613.61,2857.56,143,3,1,3
2739.63,2857.56,168,3,1,3
3000.29,3000.29,201,5,0,4
2816.75,3018.06,178,3,8,3
2855.66,3336.96,184,4,2,3
3199.08,3336.96,192,4,2,3
3594.4,3705.24,217,5,1,4
3635.62,3719.82,214,5,3,4
3240.75,3743.83,186,4,9,4
3570.32,3743.83,198,4,9,4
3269.48,3816.99,190,4,6,4
3655.98,3816.99,195,4,6,4
3762.11,3936.07,191,4,4,4
3296.97,4179.17,117,6,7,4
3379.69,4179.17,219,6,7,4
3451.51,4179.17,222,6,7,4
3890.92,4179.17,223,6,7,4
4196.76,4448.09,189,4,8,4
3711.01,4474.98,187,4,5,4
3944.37,4474.98,188,4,5,4
4249.15,4474.98,193,4,5,4
4305.71,4499.03,102,6,2,4
4455.11,4499.03,218,6,2,4
4546.12,4573.07,288,7,0,5
4547.8,4712.03,99,6,1,5
4825.58,4894.89,215,5,6,5
4823.89,4908.14,220,6,9,5
4926.64,5015.01,209,5,4,5
5022.57,5366.0,226,6,3,5
5759.61,5809.55,263,7,7,5
5666.49,5837.74,228,6,8,5
5606.67,5997.62,221,6,5,5
5787.21,5997.62,224,6,5,5
5919.71,6012.56,212,10,4,6
6051.01,6114.18,285,7,2,5
5813.5,6238.52,100,8,0,6
5873.79,6238.52,104,8,0,6
5975.81,6238.52,111,8,0,6
6085.71,6238.52,120,8,0,6
