搬送開始時刻,搬送完了時刻,要支援者ID,避難所ID,車両ID,搬送回数
139.37,178.4,46,1,3,1
167.52,207.38,45,1,0,1
207.38,207.38,71,1,0,1
215.14,302.63,58,1,1,1
172.08,384.38,28,1,8,1
194.83,384.38,31,1,8,1
239.34,384.38,33,1,8,1
288.33,384.38,36,1,8,1
366.43,384.38,42,1,8,1
280.3,459.95,174,1,9,1
220.89,472.67,26,1,6,1
293.02,472.67,177,1,6,1
172.08,477.21,23,1,5,1
202.4,477.21,30,1,5,1
325.61,477.21,181,1,5,1
209.43,585.99,32,1,7,1
268.17,585.99,34,1,7,1
346.81,585.99,47,1,7,1
449.52,585.99,55,1,7,1
547.1,585.99,66,1,7,1
178.92,688.93,27,1,2,1
196.38,688.93,40,1,2,1
427.24,688.93,176,1,2,1
393.92,697.96,56,1,4,1
686.21,697.96,64,1,4,1
696.98,768.78,124,2,3,2
937.8,1082.98,125,2,5,2
1042.37,1082.98,129,2,5,2
1036.66,1247.89,126,2,9,2
1224.43,1247.89,127,2,9,2
799.55,1289.71,123,2,1,2
1075.68,1289.71,136,2,1,2
771.55,1429.43,122,2,0,2
906.53,1429.43,133,2,0,2
1205.06,1429.43,139,2,0,2
1496.99,1774.98,135,2,4,2
1577.86,1801.81,183,4,3,3
1154.4,1805.09,130,2,7,2
1196.18,1805.09,131,2,7,2
1449.31,1805.09,141,2,7,2
1245.62,1809.35,165,3,2,2
1409.78,1809.35,178,3,2,2
1682.27,1809.35,182,3,2,2
1112.02,1845.3,112,2,6,2
1244.22,1845.3,132,2,6,2
1544.76,1845.3,138,2,6,2
981.77,1981.56,116,2,8,2
1086.99,1981.56,118,2,8,2
1190.49,1981.56,128,2,8,2
1347.29,1981.56,134,2,8,2
1652.23,1981.56,137,2,8,2
1731.07,1981.56,140,2,8,2
2167.0,2307.95,150,3,9,3
2208.43,2307.95,153,3,9,3
2290.6,2307.95,163,3,9,3
2180.57,2427.08,158,3,0,3
2266.02,2427.08,159,3,0,3
2323.91,2427.08,161,3,0,3
2166.5,2656.3,188,4,5,3
2404.97,2656.3,189,4,5,3
2615.69,2841.51,193,4,2,3
2211.94,2848.39,156,3,1,3
2563.68,2848.39,160,3,1,3
2730.46,2848.39,168,3,1,3
2738.13,2872.34,149,3,6,3
2801.06,3017.42,143,3,8,3
2837.74,3017.42,144,3,8,3
2913.76,3017.42,155,3,8,3
2667.38,3091.89,142,3,4,3
2773.73,3091.89,146,3,4,3
2795.19,3091.89,147,3,4,3
2895.32,3091.89,157,3,4,3
3008.58,3091.89,167,3,4,3
2687.62,3252.09,148,3,7,3
2732.14,3252.09,151,3,7,3
2969.14,3252.09,162,3,7,3
3148.94,3252.09,166,3,7,3
3091.33,3301.73,224,6,3,4
3345.5,3683.57,191,4,0,4
3510.06,3683.57,198,4,0,4
3603.56,3691.93,209,5,1,4
3702.71,3859.59,267,7,9,4
3793.96,3859.59,277,7,9,4
3839.39,4000.4,195,4,8,4
3604.23,4320.6,184,4,6,4
4074.39,4320.6,187,4,6,4
3593.9,4449.28,99,6,5,4
3677.55,4449.28,219,6,5,4
3799.2,4449.28,220,6,5,4
4161.03,4449.28,223,6,5,4
4455.1,4502.02,271,7,2,4
