Vehicle,Route
0,Depot(0) -> Client(64) -> Client(71) -> Client(174) -> Client(177) -> Shelter(1) -> Client(141) -> Shelter(2) -> Client(187) -> Shelter(4) -> Client(201) -> Shelter(5) -> Client(100) -> Client(114) -> Shelter(8) -> Client(145) -> Client(194) -> Shelter(9) -> Client(311) -> Client(313) -> Client(317) -> Client(318) -> Shelter(12) -> Client(70) -> Client(73) -> Shelter(13) -> Client(171) -> Client(172) -> Shelter(16) -> Client(207) -> Shelter(17) -> Client(237) -> Shelter(19) -> Client(24) -> Client(25) -> Client(35) -> Client(49) -> Client(175) -> Shelter(20) -> Client(275) -> Shelter(21) -> Depot(0)
1,Depot(0) -> Client(66) -> Shelter(1) -> Client(162) -> Client(167) -> Client(178) -> Shelter(3) -> Client(99) -> Client(222) -> Shelter(6) -> Client(277) -> Shelter(7) -> Client(91) -> Shelter(8) -> Client(244) -> Shelter(11) -> Client(297) -> Client(304) -> Client(308) -> Client(312) -> Client(314) -> Shelter(12) -> Client(77) -> Client(79) -> Shelter(13) -> Client(82) -> Shelter(14) -> Client(200) -> Client(202) -> Client(204) -> Client(205) -> Shelter(17) -> Client(272) -> Shelter(18) -> Client(232) -> Client(233) -> Client(236) -> Shelter(19) -> Client(276) -> Shelter(21) -> Depot(0)
2,Depot(0) -> Client(31) -> Client(32) -> Shelter(1) -> Client(112) -> Client(126) -> Client(132) -> Shelter(2) -> Client(149) -> Client(151) -> Shelter(3) -> Client(186) -> Shelter(4) -> Client(224) -> Shelter(6) -> Client(265) -> Shelter(7) -> Client(95) -> Client(111) -> Client(120) -> Shelter(8) -> Client(154) -> Client(185) -> Shelter(9) -> Client(213) -> Shelter(10) -> Client(248) -> Client(249) -> Shelter(11) -> Client(310) -> Shelter(12) -> Client(74) -> Shelter(14) -> Client(48) -> Shelter(15) -> Client(206) -> Client(210) -> Client(225) -> Shelter(17) -> Client(238) -> Client(251) -> Shelter(19) -> Client(284) -> Client(290) -> Client(301) -> Shelter(21) -> Client(94) -> Shelter(22) -> Depot(0)
3,Depot(0) -> Client(26) -> Client(30) -> Client(36) -> Client(40) -> Shelter(1) -> Client(118) -> Client(122) -> Client(130) -> Shelter(2) -> Client(142) -> Client(148) -> Client(150) -> Client(156) -> Client(159) -> Client(160) -> Shelter(3) -> Client(191) -> Client(198) -> Shelter(4) -> Client(102) -> Shelter(6) -> Client(104) -> Client(115) -> Shelter(8) -> Client(196) -> Shelter(9) -> Client(302) -> Client(323) -> Shelter(12) -> Client(29) -> Shelter(15) -> Client(240) -> Shelter(19) -> Client(43) -> Shelter(20) -> Client(286) -> Client(291) -> Client(292) -> Shelter(21) -> Client(75) -> Client(80) -> Shelter(22) -> Depot(0)
4,Depot(0) -> Client(34) -> Shelter(1) -> Client(116) -> Client(129) -> Client(133) -> Client(134) -> Client(136) -> Client(138) -> Shelter(2) -> Client(143) -> Client(163) -> Client(166) -> Client(168) -> Client(182) -> Shelter(3) -> Client(215) -> Shelter(5) -> Client(269) -> Shelter(7) -> Client(105) -> Client(107) -> Client(113) -> Shelter(8) -> Client(253) -> Shelter(11) -> Client(300) -> Client(306) -> Client(321) -> Shelter(12) -> Client(69) -> Shelter(13) -> Client(92) -> Shelter(14) -> Client(38) -> Shelter(15) -> Client(203) -> Client(211) -> Shelter(17) -> Client(51) -> Shelter(20) -> Client(287) -> Client(289) -> Client(294) -> Client(296) -> Client(305) -> Shelter(21) -> Client(62) -> Shelter(22) -> Depot(0)
5,Depot(0) -> Client(45) -> Client(176) -> Shelter(1) -> Client(137) -> Client(140) -> Shelter(2) -> Client(147) -> Client(157) -> Client(158) -> Client(165) -> Shelter(3) -> Client(183) -> Client(184) -> Client(189) -> Client(192) -> Shelter(4) -> Client(214) -> Shelter(5) -> Client(221) -> Client(223) -> Shelter(6) -> Client(263) -> Client(271) -> Client(285) -> Shelter(7) -> Client(89) -> Shelter(8) -> Client(152) -> Shelter(9) -> Client(216) -> Client(227) -> Shelter(10) -> Client(316) -> Shelter(12) -> Client(108) -> Shelter(13) -> Client(72) -> Shelter(15) -> Client(264) -> Shelter(18) -> Client(37) -> Shelter(20) -> Client(278) -> Shelter(21) -> Client(106) -> Shelter(22) -> Depot(0)
6,Depot(0) -> Client(27) -> Client(33) -> Client(47) -> Client(56) -> Shelter(1) -> Client(123) -> Client(135) -> Client(139) -> Shelter(2) -> Client(153) -> Shelter(3) -> Client(190) -> Shelter(4) -> Client(209) -> Shelter(5) -> Client(220) -> Client(226) -> Shelter(6) -> Client(197) -> Shelter(9) -> Client(212) -> Client(229) -> Client(230) -> Shelter(10) -> Client(246) -> Client(254) -> Shelter(11) -> Client(299) -> Shelter(12) -> Client(65) -> Shelter(13) -> Client(59) -> Shelter(14) -> Client(39) -> Shelter(15) -> Client(259) -> Client(273) -> Shelter(18) -> Client(239) -> Client(242) -> Shelter(19) -> Client(281) -> Client(282) -> Client(293) -> Shelter(21) -> Client(119) -> Client(121) -> Shelter(22) -> Depot(0)
7,Depot(0) -> Client(46) -> Client(55) -> Client(181) -> Shelter(1) -> Client(131) -> Shelter(2) -> Client(144) -> Client(146) -> Client(161) -> Shelter(3) -> Client(195) -> Shelter(4) -> Client(218) -> Client(228) -> Shelter(6) -> Client(84) -> Client(85) -> Client(98) -> Client(101) -> Shelter(8) -> Client(303) -> Client(307) -> Client(320) -> Client(322) -> Shelter(12) -> Client(81) -> Shelter(13) -> Client(54) -> Shelter(14) -> Client(41) -> Client(53) -> Shelter(15) -> Client(169) -> Client(170) -> Client(180) -> Shelter(16) -> Client(199) -> Client(208) -> Shelter(17) -> Client(257) -> Client(262) -> Client(274) -> Shelter(18) -> Client(234) -> Shelter(19) -> Client(295) -> Shelter(21) -> Client(90) -> Client(97) -> Shelter(22) -> Depot(0)
8,Depot(0) -> Client(58) -> Shelter(1) -> Client(125) -> Shelter(2) -> Client(188) -> Client(193) -> Shelter(4) -> Client(117) -> Shelter(6) -> Client(267) -> Shelter(7) -> Client(96) -> Client(110) -> Shelter(8) -> Client(245) -> Client(250) -> Shelter(11) -> Client(309) -> Client(319) -> Shelter(12) -> Client(63) -> Shelter(13) -> Client(76) -> Shelter(14) -> Client(67) -> Shelter(15) -> Client(179) -> Shelter(16) -> Client(270) -> Shelter(18) -> Client(235) -> Client(241) -> Shelter(19) -> Client(50) -> Shelter(20) -> Client(279) -> Shelter(21) -> Client(103) -> Shelter(22) -> Depot(0)
9,Depot(0) -> Client(23) -> Client(28) -> Client(42) -> Shelter(1) -> Client(124) -> Client(127) -> Client(128) -> Shelter(2) -> Client(155) -> Shelter(3) -> Client(217) -> Shelter(5) -> Client(219) -> Shelter(6) -> Client(266) -> Client(283) -> Client(288) -> Shelter(7) -> Client(88) -> Client(93) -> Shelter(8) -> Client(231) -> Shelter(10) -> Client(247) -> Client(252) -> Client(256) -> Shelter(11) -> Client(298) -> Client(315) -> Shelter(12) -> Client(60) -> Client(68) -> Client(78) -> Shelter(13) -> Client(57) -> Client(61) -> Client(83) -> Client(86) -> Shelter(14) -> Client(164) -> Client(173) -> Shelter(16) -> Client(255) -> Client(258) -> Client(260) -> Client(261) -> Shelter(18) -> Client(243) -> Shelter(19) -> Client(44) -> Client(52) -> Shelter(20) -> Client(280) -> Shelter(21) -> Client(87) -> Client(109) -> Shelter(22) -> Depot(0)
