Vehicle,Route
0,Depot(0) -> Client(45) -> Client(71) -> Shelter(1) -> Client(127) -> Client(128) -> Client(137) -> Client(138) -> Shelter(2) -> Client(144) -> Client(157) -> Client(168) -> Shelter(3) -> Client(201) -> Shelter(5) -> Client(117) -> Shelter(6) -> Client(265) -> Shelter(7) -> Client(120) -> Shelter(8) -> Client(145) -> Shelter(9) -> Client(231) -> Shelter(10) -> Client(247) -> Shelter(11) -> Client(300) -> Client(306) -> Client(308) -> Client(310) -> Client(313) -> Client(322) -> Shelter(12) -> Client(65) -> Client(70) -> Client(77) -> Shelter(13) -> Client(41) -> Shelter(15) -> Client(206) -> Shelter(17) -> Client(243) -> Shelter(19) -> Client(25) -> Client(50) -> Shelter(20) -> Client(276) -> Client(286) -> Client(289) -> Shelter(21) -> Client(121) -> Shelter(22) -> Depot(0)
1,Depot(0) -> Client(31) -> Client(34) -> Client(64) -> Client(66) -> Shelter(1) -> Client(112) -> Client(122) -> Client(126) -> Shelter(2) -> Client(163) -> Shelter(3) -> Client(183) -> Client(195) -> Shelter(4) -> Client(218) -> Client(221) -> Shelter(6) -> Client(269) -> Shelter(7) -> Client(91) -> Client(93) -> Client(100) -> Client(105) -> Shelter(8) -> Client(194) -> Shelter(9) -> Client(230) -> Shelter(10) -> Client(245) -> Shelter(11) -> Client(303) -> Client(309) -> Shelter(12) -> Client(63) -> Client(69) -> Shelter(13) -> Client(59) -> Shelter(14) -> Client(172) -> Shelter(16) -> Client(260) -> Client(272) -> Shelter(18) -> Client(235) -> Shelter(19) -> Client(51) -> Shelter(20) -> Client(280) -> Client(287) -> Client(290) -> Client(293) -> Client(305) -> Shelter(21) -> Client(90) -> Client(94) -> Shelter(22) -> Depot(0)
2,Depot(0) -> Client(55) -> Client(56) -> Shelter(1) -> Client(125) -> Client(130) -> Client(133) -> Client(135) -> Client(136) -> Shelter(2) -> Client(142) -> Client(146) -> Client(149) -> Client(155) -> Client(156) -> Client(162) -> Client(166) -> Shelter(3) -> Client(192) -> Client(193) -> Shelter(4) -> Client(99) -> Shelter(6) -> Client(152) -> Shelter(9) -> Client(299) -> Client(323) -> Shelter(12) -> Client(60) -> Shelter(13) -> Client(262) -> Shelter(18) -> Client(236) -> Shelter(19) -> Client(275) -> Client(296) -> Shelter(21) -> Depot(0)
3,Depot(0) -> Client(26) -> Client(30) -> Client(36) -> Client(174) -> Shelter(1) -> Client(129) -> Client(134) -> Client(139) -> Client(140) -> Shelter(2) -> Client(150) -> Shelter(3) -> Client(219) -> Client(228) -> Shelter(6) -> Client(115) -> Shelter(8) -> Client(307) -> Client(314) -> Client(316) -> Shelter(12) -> Client(68) -> Client(81) -> Shelter(13) -> Client(61) -> Client(76) -> Client(86) -> Shelter(14) -> Client(29) -> Client(48) -> Shelter(15) -> Client(170) -> Shelter(16) -> Client(200) -> Client(202) -> Shelter(17) -> Client(233) -> Client(234) -> Client(239) -> Client(242) -> Shelter(19) -> Client(43) -> Shelter(20) -> Client(282) -> Shelter(21) -> Client(119) -> Shelter(22) -> Depot(0)
4,Depot(0) -> Client(27) -> Client(32) -> Client(40) -> Shelter(1) -> Client(131) -> Client(141) -> Shelter(2) -> Client(161) -> Client(182) -> Shelter(3) -> Client(188) -> Shelter(4) -> Client(266) -> Shelter(7) -> Client(84) -> Client(95) -> Client(114) -> Shelter(8) -> Client(248) -> Shelter(11) -> Client(297) -> Client(302) -> Client(317) -> Client(320) -> Shelter(12) -> Client(57) -> Shelter(14) -> Client(204) -> Shelter(17) -> Client(259) -> Client(270) -> Shelter(18) -> Client(237) -> Shelter(19) -> Client(75) -> Client(106) -> Client(109) -> Shelter(22) -> Depot(0)
5,Depot(0) -> Client(46) -> Shelter(1) -> Client(116) -> Client(123) -> Shelter(2) -> Client(159) -> Shelter(3) -> Client(214) -> Shelter(5) -> Client(220) -> Shelter(6) -> Client(98) -> Client(113) -> Shelter(8) -> Client(196) -> Client(197) -> Shelter(9) -> Client(229) -> Shelter(10) -> Client(249) -> Shelter(11) -> Client(315) -> Client(321) -> Shelter(12) -> Client(73) -> Client(108) -> Shelter(13) -> Client(67) -> Shelter(15) -> Client(205) -> Client(207) -> Client(225) -> Shelter(17) -> Client(257) -> Client(264) -> Client(273) -> Shelter(18) -> Client(251) -> Shelter(19) -> Client(175) -> Shelter(20) -> Client(281) -> Shelter(21) -> Client(80) -> Shelter(22) -> Depot(0)
6,Depot(0) -> Client(33) -> Shelter(1) -> Client(124) -> Client(132) -> Shelter(2) -> Client(151) -> Client(153) -> Client(158) -> Client(160) -> Client(167) -> Shelter(3) -> Client(186) -> Client(190) -> Shelter(4) -> Client(224) -> Shelter(6) -> Client(85) -> Client(104) -> Client(107) -> Client(111) -> Shelter(8) -> Client(185) -> Shelter(9) -> Client(246) -> Client(254) -> Shelter(11) -> Client(318) -> Client(319) -> Shelter(12) -> Client(92) -> Shelter(14) -> Client(72) -> Shelter(15) -> Client(274) -> Shelter(18) -> Client(240) -> Shelter(19) -> Client(24) -> Client(49) -> Shelter(20) -> Client(279) -> Client(291) -> Client(295) -> Shelter(21) -> Depot(0)
7,Depot(0) -> Client(42) -> Client(176) -> Shelter(1) -> Client(147) -> Client(148) -> Shelter(3) -> Client(209) -> Shelter(5) -> Client(102) -> Client(223) -> Client(226) -> Shelter(6) -> Client(88) -> Shelter(8) -> Client(212) -> Shelter(10) -> Client(253) -> Shelter(11) -> Client(311) -> Shelter(12) -> Client(82) -> Shelter(14) -> Client(39) -> Shelter(15) -> Client(169) -> Client(180) -> Shelter(16) -> Client(199) -> Client(203) -> Client(210) -> Client(211) -> Shelter(17) -> Client(255) -> Shelter(18) -> Depot(0)
8,Depot(0) -> Client(23) -> Client(28) -> Client(58) -> Shelter(1) -> Client(118) -> Shelter(2) -> Client(143) -> Client(165) -> Client(178) -> Shelter(3) -> Client(184) -> Client(187) -> Client(189) -> Client(198) -> Shelter(4) -> Client(217) -> Shelter(5) -> Client(271) -> Client(285) -> Shelter(7) -> Client(101) -> Shelter(8) -> Client(213) -> Client(216) -> Client(227) -> Shelter(10) -> Client(250) -> Shelter(11) -> Client(298) -> Client(312) -> Shelter(12) -> Client(79) -> Shelter(13) -> Client(53) -> Shelter(15) -> Client(171) -> Shelter(16) -> Client(208) -> Shelter(17) -> Client(232) -> Client(238) -> Shelter(19) -> Client(35) -> Shelter(20) -> Client(284) -> Client(292) -> Shelter(21) -> Depot(0)
9,Depot(0) -> Client(47) -> Client(177) -> Client(181) -> Shelter(1) -> Client(191) -> Shelter(4) -> Client(215) -> Shelter(5) -> Client(222) -> Shelter(6) -> Client(263) -> Client(267) -> Client(277) -> Client(283) -> Client(288) -> Shelter(7) -> Client(89) -> Client(96) -> Client(110) -> Shelter(8) -> Client(154) -> Shelter(9) -> Client(244) -> Client(252) -> Client(256) -> Shelter(11) -> Client(304) -> Shelter(12) -> Client(78) -> Shelter(13) -> Client(54) -> Client(74) -> Client(83) -> Shelter(14) -> Client(38) -> Shelter(15) -> Client(164) -> Client(173) -> Client(179) -> Shelter(16) -> Client(258) -> Client(261) -> Shelter(18) -> Client(241) -> Shelter(19) -> Client(37) -> Client(44) -> Client(52) -> Shelter(20) -> Client(278) -> Client(294) -> Client(301) -> Shelter(21) -> Client(62) -> Client(87) -> Client(97) -> Client(103) -> Shelter(22) -> Depot(0)
