搬送開始時刻,搬送完了時刻,要支援者ID,避難所ID,車両ID,搬送回数
139.37,178.4,46,1,5,1
167.52,207.38,45,1,0,1
207.38,207.38,71,1,0,1
178.92,319.57,27,1,4,1
218.56,319.57,32,1,4,1
269.42,319.57,40,1,4,1
172.08,333.11,23,1,8,1
172.08,333.11,28,1,8,1
245.62,333.11,58,1,8,1
217.79,340.18,33,1,6,1
191.25,408.14,31,1,1,1
231.82,408.14,34,1,1,1
318.62,408.14,64,1,1,1
369.25,408.14,66,1,1,1
172.42,588.58,47,1,9,1
355.65,588.58,177,1,9,1
436.98,588.58,181,1,9,1
220.89,653.57,26,1,3,1
300.02,653.57,30,1,3,1
367.68,653.57,36,1,3,1
473.92,653.57,174,1,3,1
160.44,665.87,42,1,7,1
404.18,665.87,176,1,7,1
226.78,759.19,55,1,2,1
478.64,759.19,56,1,2,1
858.77,1021.44,124,2,6,2
925.76,1021.44,132,2,6,2
775.78,1032.89,116,2,5,2
912.9,1032.89,123,2,5,2
1002.64,1114.78,118,2,8,2
788.22,1430.75,127,2,0,2
803.05,1430.75,128,2,0,2
1001.32,1430.75,137,2,0,2
1130.21,1430.75,138,2,0,2
1203.66,1446.82,147,3,7,2
1314.76,1446.82,148,3,7,2
1047.49,1458.66,112,2,1,2
1142.84,1458.66,122,2,1,2
1257.73,1458.66,126,2,1,2
1318.1,1492.06,191,4,9,2
929.76,1542.98,131,2,4,2
1185.04,1542.98,141,2,4,2
1834.33,1927.38,159,3,5,3
1200.14,1966.52,129,2,3,2
1332.25,1966.52,134,2,3,2
1640.98,1966.52,139,2,3,2
1716.03,1966.52,140,2,3,2
1219.78,2232.49,125,2,2,2
1392.91,2232.49,130,2,2,2
1574.57,2232.49,133,2,2,2
1926.72,2232.49,135,2,2,2
2018.47,2232.49,136,2,2,2
2245.18,2262.53,163,3,1,3
2201.99,2290.36,209,5,7,3
1934.27,2346.84,143,3,8,3
1981.36,2346.84,165,3,8,3
2145.53,2346.84,178,3,8,3
2500.66,2569.97,215,5,9,3
1912.57,2679.97,151,3,6,3
2042.3,2679.97,153,3,6,3
2199.53,2679.97,158,3,6,3
2438.21,2679.97,160,3,6,3
2596.66,2679.97,167,3,6,3
2286.92,2687.22,144,3,0,3
2434.27,2687.22,157,3,0,3
2569.29,2687.22,168,3,0,3
2399.85,2688.04,161,3,4,3
2560.97,2688.04,182,3,4,3
2719.71,2803.91,214,5,5,4
2885.63,3051.04,150,3,3,3
2994.42,3370.39,183,4,1,4
3209.38,3370.39,195,4,1,4
3519.55,3519.55,201,5,0,4
3535.7,3697.53,222,6,9,4
3694.37,3799.22,188,4,4,4
3788.93,3873.18,220,6,5,5
3164.07,3973.34,102,6,7,4
3574.73,3973.34,223,6,7,4
3629.91,3973.34,226,6,7,4
3124.88,4059.62,142,3,2,3
3231.24,4059.62,146,3,2,3
3338.02,4059.62,149,3,2,3
3377.02,4059.62,155,3,2,3
3493.68,4059.62,156,3,2,3
3776.68,4059.62,162,3,2,3
3956.48,4059.62,166,3,2,3
3751.02,4307.47,186,4,6,4
4081.97,4307.47,190,4,6,4
3836.89,4321.5,219,6,3,4
4150.25,4321.5,228,6,3,4
3078.73,4498.94,184,4,8,4
3548.89,4498.94,187,4,8,4
3900.58,4498.94,189,4,8,4
4325.43,4498.94,198,4,8,4
4488.53,4553.89,218,6,1,5
4524.03,4553.89,221,6,1,5
4474.57,4703.05,117,6,0,5
4672.83,4746.59,88,8,7,5
4572.66,4818.76,98,8,5,6
4714.39,4818.76,113,8,5,6
5159.81,5258.45,115,8,3,5
5429.38,5477.55,266,7,4,5
5271.98,5495.3,263,7,9,5
5286.68,5495.3,267,7,9,5
5377.92,5495.3,277,7,9,5
5417.14,5495.3,283,7,9,5
5468.36,5495.3,288,7,9,5
5415.24,5508.09,212,10,7,6
5471.18,5582.01,217,5,8,5
5033.63,5604.75,192,4,2,4
5378.92,5604.75,193,4,2,4
5581.05,5779.75,196,9,5,7
5666.77,5779.75,197,9,5,7
5596.99,5807.39,224,6,6,5
6106.54,6153.45,269,7,1,6
6298.4,6361.07,265,7,0,6
6303.96,6583.93,307,12,3,6
6394.86,6583.93,314,12,3,6
6422.29,6583.93,316,12,3,6
6595.84,6656.14,229,10,5,8
6542.35,6706.58,99,6,2,5
6736.14,6858.27,89,8,9,6
6786.65,6858.27,96,8,9,6
