搬送開始時刻,搬送完了時刻,要支援者ID,避難所ID,車両ID,搬送回数
6793.16,6858.27,110,8,9,6
6529.95,6927.91,85,8,6,6
6609.16,6927.91,104,8,6,6
6697.19,6927.91,107,8,6,6
6787.6,6927.91,111,8,6,6
6705.66,6942.57,84,8,4,6
6705.66,6942.57,95,8,4,6
6839.83,6942.57,114,8,4,6
7100.57,7245.21,271,7,8,6
7182.04,7245.21,285,7,8,6
7222.72,7325.85,253,11,7,7
7495.86,7515.0,154,9,9,7
7482.98,7571.48,68,13,3,7
7506.9,7571.48,81,13,3,7
7518.11,7599.97,185,9,6,7
7346.02,7662.89,91,8,1,7
7464.85,7662.89,93,8,1,7
7563.01,7662.89,100,8,1,7
7589.14,7662.89,105,8,1,7
7653.01,7731.22,152,9,2,6
7655.64,7808.46,120,8,0,7
7881.92,8084.0,61,14,3,8
7956.76,8084.0,76,14,3,8
8006.48,8084.0,86,14,3,8
8319.84,8358.2,249,11,5,9
8448.26,8448.26,145,9,0,8
8372.07,8521.4,194,9,1,8
8420.61,8523.74,248,11,4,7
8478.17,8590.87,101,8,8,7
8547.83,8876.29,29,15,3,9
8838.42,8876.29,48,15,3,9
9117.34,9218.23,170,16,3,10
9209.13,9290.33,246,11,6,8
9229.54,9290.33,254,11,6,8
9333.42,9342.18,231,10,0,9
9124.17,9349.26,244,11,9,8
9190.53,9349.26,252,11,9,8
9281.13,9349.26,256,11,9,8
9392.85,9469.5,230,10,1,9
9282.43,9507.84,311,12,7,8
9077.39,9760.4,299,12,2,7
9482.71,9760.4,323,12,2,7
9348.63,9846.15,213,10,8,8
9496.37,9846.15,216,10,8,8
9727.34,9846.15,227,10,8,8
10215.3,10600.5,315,12,5,10
10331.0,10600.5,321,12,5,10
10573.46,10622.15,82,14,7,9
10691.89,10715.32,60,13,2,8
10234.81,10826.56,200,17,3,11
10629.43,10826.56,202,17,3,11
10975.96,10995.45,247,11,0,10
10961.02,11088.76,39,15,7,10
11134.01,11173.18,245,11,1,10
11083.66,11338.15,318,12,6,9
11108.53,11338.15,319,12,6,9
11244.21,11438.16,304,12,9,9
10681.82,11504.24,297,12,4,8
11000.66,11504.24,302,12,4,8
11122.85,11504.24,317,12,4,8
11259.84,11504.24,320,12,4,8
11533.91,11596.32,250,11,8,9
11525.72,11653.87,73,13,5,11
11591.47,11653.87,108,13,5,11
11347.99,11706.51,169,16,7,11
11546.15,11706.51,180,16,7,11
11770.8,11818.33,67,15,5,12
11974.29,12037.74,262,18,2,9
12318.13,12384.67,78,13,9,10
12455.01,12552.24,92,14,6,10
12564.69,12611.73,57,14,4,9
12672.02,12856.05,54,14,9,11
12752.94,12856.05,74,14,9,11
12791.4,12856.05,83,14,9,11
12608.91,12871.1,233,19,3,12
12650.13,12871.1,234,19,3,12
12725.25,12871.1,239,19,3,12
12807.73,12871.1,242,19,3,12
12896.84,13065.91,72,15,6,11
13131.33,13195.47,38,15,9,12
13137.83,13371.3,303,12,1,11
13183.27,13371.3,309,12,1,11
12737.59,13718.97,205,17,5,13
12876.11,13718.97,207,17,5,13
13121.68,13718.97,225,17,5,13
12678.39,13817.52,199,17,7,12
13048.82,13817.52,203,17,7,12
13631.25,13817.52,210,17,7,12
13686.56,13817.52,211,17,7,12
13515.71,13873.95,164,16,9,13
13573.5,13873.95,173,16,9,13
13716.06,13873.95,179,16,9,13
13726.87,14112.86,204,17,4,10
14134.66,14217.84,274,18,6,12
14199.02,14228.74,43,20,3,13
13701.66,14234.92,298,12,8,10
14034.21,14234.92,312,12,8,10
13128.15,14288.44,300,12,0,11
13331.85,14288.44,306,12,0,11
13521.28,14288.44,308,12,0,11
13771.55,14288.44,310,12,0,11
13970.01,14288.44,313,12,0,11
14058.81,14288.44,322,12,0,11
14315.99,14434.03,63,13,1,12
14394.01,14434.03,69,13,1,12
14478.67,14542.48,236,19,2,10
14742.2,14781.37,59,14,1,13
15183.75,15239.83,79,13,8,11
15248.64,15356.19,282,21,3,14
15320.83,15356.91,172,16,1,14
15340.32,15365.06,258,18,9,14
15340.32,15365.06,261,18,9,14
15201.76,15379.16,65,13,0,12
15256.21,15379.16,70,13,0,12
15316.91,15379.16,77,13,0,12
15473.26,15505.69,255,18,7,13
15490.29,15525.74,41,15,0,13
15352.06,15541.38,257,18,5,14
15375.18,15541.38,264,18,5,14
15456.99,15541.38,273,18,5,14
15507.23,15713.4,53,15,8,12
15782.29,15944.01,259,18,4,11
15840.29,15944.01,270,18,4,11
16062.44,16125.33,171,16,8,13
16320.58,16616.15,206,17,0,14
16628.99,16670.75,240,19,6,13
16614.27,16780.14,119,22,3,15
16804.48,16888.87,260,18,1,15
16845.63,16888.87,272,18,1,15
16720.34,17114.38,275,21,2,11
16972.82,17114.38,296,21,2,11
17324.58,17706.84,208,17,8,14
17754.6,17792.79,241,19,9,15
17908.96,17983.52,251,19,5,15
18104.33,18185.64,24,20,6,14
18165.73,18185.64,49,20,6,14
18326.02,18424.5,237,19,4,12
18424.66,18460.44,243,19,0,15
19209.93,19343.74,37,20,9,16
19309.23,19343.74,44,20,9,16
19318.46,19343.74,52,20,9,16
19345.29,19424.58,235,19,1,16
19236.63,19538.5,279,21,6,15
19406.19,19538.5,291,21,6,15
19455.87,19538.5,295,21,6,15
19482.04,19658.39,175,20,5,16
19553.28,19720.15,232,19,8,15
19629.59,19720.15,238,19,8,15
19890.24,20020.75,25,20,0,16
19998.62,20020.75,50,20,0,16
19860.04,20262.55,75,22,4,13
20109.88,20262.55,106,22,4,13
20214.88,20262.55,109,22,4,13
20382.41,20666.33,278,21,9,17
20485.48,20666.33,294,21,9,17
20584.75,20666.33,301,21,9,17
20657.98,20754.67,281,21,5,17
20791.82,20806.72,51,20,1,17
20969.53,21246.3,276,21,0,17
21076.11,21246.3,286,21,0,17
21212.4,21246.3,289,21,0,17
21179.69,21291.2,35,20,8,16
21810.19,21877.63,80,22,5,18
21721.85,22072.86,62,22,9,18
21841.84,22072.86,87,22,9,18
21932.25,22072.86,97,22,9,18
22002.78,22072.86,103,22,9,18
21875.8,22436.42,280,21,1,18
22019.97,22436.42,287,21,1,18
22089.43,22436.42,290,21,1,18
22152.56,22436.42,293,21,1,18
22291.18,22436.42,305,21,1,18
22482.54,22626.56,121,22,0,18
22357.61,22630.13,284,21,8,17
22519.5,22630.13,292,21,8,17
23612.79,23783.09,90,22,1,19
23740.9,23783.09,94,22,1,19
