Vehicle,Total Distance,Total Clients,Shelter Visits
0,13668.64,33,15
1,17303.3,30,17
2,18172.34,34,17
3,18270.41,32,18
4,14929.22,28,16
5,12743.01,30,12
6,13162.04,22,13
7,15062.89,25,14
8,14957.72,29,15
9,17689.14,33,19
