Vehicle,Total Distance,Total Clients,Shelter Visits
0,14280.72,27,13
1,13702.02,26,13
2,18264.96,30,17
3,13409.13,29,13
4,15607.71,33,15
5,17518.01,29,17
6,14725.32,31,17
7,13799.68,34,16
8,15095.32,22,17
9,15622.59,39,18
