Vehicle,Total Distance,Total Clients,Shelter Visits
0,16367.33,40,19
1,15809.54,26,15
2,14761.94,27,15
3,17474.42,24,16
4,12515.03,25,15
5,18412.67,34,17
6,15088.5,27,15
7,15729.48,31,15
8,13986.13,31,14
9,16330.76,36,18
